block,ts,pool,usd,tx
15946118,1668161723,UBXT-WETH,2016482.1,0x8aa0d21ab895ab0dfa533e1fcd5aa9a766756340a3d6379b5e2443645c92b26a
16016363,1669009247,CRAB-WETH,2010920.3,0x7b9ad5b6ce0442a34a0242f169ab1484175ec6fa600b364688c0a6493c63bb29
15861142,1667136095,BLXM-USDC,2010113.5,0x40c5f35abca5e864d1d84b08f2b75d9c6d1db9500f8155494f07a262264e6476
16015102,1668994079,WETH-BOTS,2009754.2,0x1a45a6b9630b250f39324f4f240b187e8f5bd6ae2ecc45a1558ea88b891132a0
16014347,1668984971,CRAB-WETH,2008595.2,0x772976886ab3e97242f7c9115660ac29d4dfaa3f13c784ab88f2363696aeb499
16014635,1668988439,DINO-WETH,2008271.2,0xeca0e4d0374f7a125bdae3b576f4967cd57071cd44d85b46a59ffde2d62785a2
15809125,1666507775,STW-WETH,2008090.6,0xaa77fb57c46294ea130b01067b8136245d63d20dc3cd4871e3613b1781563061
16014591,1668987911,CRAB-WETH,2007969.2,0x293eaf8a93da032a01874d88c1d291cdc921bf702960f4b20d81480ad096f41a
15957294,1668296579,RAD-WETH,2007803.2,0xa8d27f0af6afb36a195c027467f0f3ef6db9a19833f97576740b17dd41d34a3e
16014954,1668992267,CRAB-WETH,2007344.5,0xbdec07346aaa61c79663a184903aefaca3a3d241dbe9bf57c3eb571363e46068
15976331,1668526091,WETH-IMX,2005115.5,0x0f642eb3f8858180c6a1374448a044fb0e9a7d19dba4b40c10e8e6eb8abf228e
15977261,1668537395,WETH-TRIBE,2003795.7,0xe4175a094fca78714a651a4719e4dc7c3d47d1ee73b7cd7a9f38ef30ce4f7b71
15960673,1668337331,WETH-WRLD,2003206.5,0xa34754ef7e21852ccce0da82d11a68c5cd1345bd4d5ba12484885498155211b3
15960655,1668337103,UNIDX-WETH,2002897.5,0x73db68aa084806779a214247e912c9867cef44687f0dce1795ea9e2dc7353bc8
15978722,1668555035,XEN-WETH,2001373.6,0x50f53ce17d8711f2311421006553b02ac12e0250d507e05cec1608b31317d5f4
15963135,1668366983,RAD-WETH,1999757.5,0xe26404b251798eda82b865cb7807236d1d231c80a2e8cead8c9d1e14f1718d40
16019005,1669041143,CRAB-WETH,1999699.8,0x67723006622cbfda4f9b25f3bb461b7fa95919af60ea3bc1a545e46a5edc3e07
16018997,1669041047,CRAB-WETH,1997808.6,0xc5c72605647ccb4eccb58704d7189ba35c8dded22e78a4fc3e936e55264da57b
15943023,1668124355,UNIDX-WETH,1995815.5,0xbf0f1b6d7d1e1ef675bc618ca9fab7c7bd865123fa4de96799ebb7104baa3ee1
15947719,1668181103,PEOPLE-WETH,1995607.6,0x2c827d05bbd22aa9168a7a62daae18dde3c97879e162d5519c766fd0febc87aa
16017332,1669020959,ALEPH-WETH,1993227.2,0x13505cbca10a1d3b0d30e280c809a8c18e1a755c94262b1bfe65b6c58f763ace
15800902,1666408667,WETH-EUL,1993225.2,0x3a507f4b44b9b45701e0e3d555c07abbbe54fb6249fb22364caa4b88597d8a15
16027297,1669141307,CRAB-WETH,1991129.3,0x74616f296d5066200b28e6903e5ec0be1b80e3a24dc4e58a48b772ef50b32256
16019338,1669045163,UNIDX-WETH,1990882.2,0xcc7700dedceb45d114cf9bce2411abc733ef7e9b80b42e57ca5e52428b8120ab
15944219,1668138827,FTX Token-WETH,1990583.3,0xd7933e1f8265939bf02dc646ca92f39a6a3aa5a971ff4eb89a46fe953f90a313
15959921,1668328271,RAD-WETH,1989572.2,0x8f5e7283338ef279a472dbcbd7ef898faf88bcacd2572c1871d35183683057f6
15932303,1667994875,FTX Token-WETH,1985553.6,0x95c2cfb9cba6bcc3b2151ac43ed1d9ede31e89acb72b21ce4a1d30e1a847e0c2
15827295,1666727555,TWIS-WETH,1983649.5,0xeff6f03bac82af78ffd6bd3936df6cb311981b5cd834e1d5e9f89af1ab216561
15829090,1666749263,WETH-DHT,1982960.4,0x07edeeaef9966ba87bd296f3cc62eb5894b9158471f53e4f631ef98ad61cf5a8
16022954,1669088783,CRAB-WETH,1982235.5,0xdfb130f35bb17c7fde48f9a091628a295e2d75efaee41e7e0738ce0ce9288169
15895057,1667545691,BLXM-USDC,1981335.3,0x26066eb3516c49af9066567fe0f63e69bbed9c271f16d65a2b4b83e87cea37c9
15943797,1668133727,RAD-WETH,1980141.2,0xe4b29cdd1fb0361f9567e08625959ee14fe51671001bb83a0eaa89878755d2a6
16010036,1668932927,WETH-renBTC,1979062.6,0xb9b8bbc0f1771e3932ba562fdb1d42d12d2d37c23911aef8617759cac13e364f
15939073,1668076715,UBXT-WETH,1978973.0,0x6883c6f09d2735bcb093fb6c7b801803dba46663505598a4b8ad3794f526b355
15827268,1666727231,WETH-CKTL,1977062.1,0x18279fa15a27189c1da7944e970f88b0ac62565a269e354dcbe198ee929fa0ff
15965279,1668392783,APE-WETH,1973802.2,0x5622d3b4b8c94a823f2579114752230e9c37757fcd096a1d3c3b0d23615a7a3d
15921198,1667860883,CHAD-WETH,1973602.2,0x873a3061811729072bec1925874a095222f2eec75af7bb7c379ab8e1a2ebe794
16020999,1669065215,WETH-IMX,1972423.8,0xebdb2170bffe2cd5055a665393ed89338613347a3bd8892eb40470fb01a36332
15943773,1668133427,WETH-RGT,1972007.9,0x2e4a7f1e023dfb7486cd95d9250d3a1126630d14bb62852f4d63ee0020aa051f
15944135,1668137819,UNIDX-WETH,1969610.6,0x1499a94cd3bad636f95efe197aa1c3bf67d4b45508f4ce202f14f04d61274bf8
16018526,1669035383,PAYT-WETH,1969244.0,0xc06d7ba4ac499d0483a5811e1cfc16aed4f406c8ba6f7c8ef554830c7f0cb1c6
15944725,1668144959,LUSD-WETH,1967505.5,0x301ba374671f32d3bec73c2796a2b6419d2bdac5068119f0f441f78b37378abd
16010614,1668939899,WETH-renBTC,1963740.0,0x81f0514e69197708040ece912eb25d4fa7c9d9a92d79e01e4438c632465057b9
15991241,1668706175,RAD-WETH,1963294.5,0x2ebf515d5cd9b98e3e768a1d9ac22695aab8802f079750948c4e8ef33cb7fecc
16010351,1668936731,WETH-renBTC,1961867.1,0xc8f97a60558cb595797bbd08f84ed4c49e5e4adba64eaff82ee94f5a2fc8190b
15998888,1668798503,WETH-RGT,1957877.6,0x456703e3b91dfdc51de7f5eb352df36107b00a28532ab6ea36963a4343a88ae8
15826789,1666721411,KOIN-WETH,1956918.1,0xb5307956c611d14294ed35135897ee8bac51d86d53f840823280ebe7cfce6247
16000138,1668813563,USDN-WETH,1953839.7,0xef071af79bd402607cc8fa491aef850cf352e0709e9a793d6f140266d2507d9b
16024522,1669107659,CRAB-WETH,1950959.2,0x318e9a39a434219be2610ca342deb47878a416bf108370859f88e76ca5a8c5cb
16024506,1669107467,CRAB-WETH,1950638.0,0xdf1f923dde9a0d8dab764b9001a07e14743acb736f2bda549a667168e71f3078
16024662,1669109363,CRAB-WETH,1950442.5,0x664936f8df4b5c616064686de5744206d39584d2fa218bcfb43d958b4a2843c6
15931968,1667990795,STMX-WETH,1950293.4,0xb47b3e1e3cb3a68f66446b22c8f3b3879855183207413f0969dc198f5ac582dd
16024495,1669107335,CRAB-WETH,1950272.3,0xb5060b478fa0d6aa550ee90e8f97c77a4eb61b90f7e77216c6c4b0d0644a9547
16024492,1669107299,CRAB-WETH,1950253.7,0xe7047bb0274e6082dad6f6a2f9e2dd1d7de1d5799e7c14a13807e97e18e3d156
16024690,1669109699,RAD-WETH,1950086.9,0x7199098c4f88af7411d8ebacc4935bfd0b3d30893ca4946b4f974dc9beb1db09
15944616,1668143651,CWEB-WETH,1949240.2,0x13458fac00c4652c88fcbf0bd7fe561c075ff81729e8bc30a54ef6e1e42ac042
15961453,1668346763,AXS-WETH,1948954.7,0x1d84b1df8f3620e9c182500d0e3b86a9346857f4eddc86bb32ca80b3c4da268a
16017863,1669027379,CRAB-WETH,1948447.5,0xd337c5009961d58a67fec0eae021440e048fa7b83ea88135f200771d02ee417d
15989424,1668684251,DINO-WETH,1948374.2,0x8d712b4e7438688d3dabd29718746c1245cabaa5e99cd485247b8b9240ce0a19
15984820,1668628751,DINO-WETH,1947794.8,0x7c12103e53034788cf873f7f21d3f8af9e17e2320fb59d154ac6940f625e2385
16006145,1668886043,WETH-TRIBE,1947756.6,0x647fa7ea009e96dc69c831d981d1603c8574fc86be2f759f46b6f4fadf6d00b3
15998373,1668792299,XEN-WETH,1946767.6,0x976f290043097fd540b05133d916df9daf9c7b9d622f321022f9521ca16099c4
15989453,1668684599,FKX-WETH,1944911.2,0xe4c9ab78f6e9d2a0b49d5a81c1c0f58108f3a3f3234a3313b768c42af24a9dbd
16024869,1669111859,CRAB-WETH,1942526.1,0x6e4e15f458bbf640c141df7ec5f3916030a7161c8d0c1107ad004e171b9dbc19
15989441,1668684455,DINO-WETH,1940541.9,0xa4fda8b762e38875a353bcd1e727048d4d986790e74f860b4741717680aab3d2
